system_time_iso,frame_number,num_tlvs,tlv_types_hex,vital_count,total_packet_len
2026-06-02T15:52:18.921,132,3,0x3f2;0x3f3;0x3fd,0,182
2026-06-02T15:52:18.921,133,3,0x3fc;0x3f2;0x3fd,0,208
2026-06-02T15:52:19.123,134,4,0x3fc;0x3f2;0x3f3;0x3fd,0,225
2026-06-02T15:52:19.123,135,4,0x3fc;0x3f2;0x3f3;0x3fd,0,218
2026-06-02T15:52:19.326,136,4,0x3fc;0x3f2;0x3f3;0x3fd,0,233
2026-06-02T15:52:19.326,137,4,0x3fc;0x3f2;0x3f3;0x3fd,0,339
2026-06-02T15:52:19.326,138,4,0x3fc;0x3f2;0x3f3;0x3fd,0,408
2026-06-02T15:52:19.527,139,4,0x3fc;0x3f2;0x3f3;0x3fd,0,239
2026-06-02T15:52:19.527,140,4,0x3fc;0x3f2;0x3f3;0x3fd,0,225
2026-06-02T15:52:19.730,141,4,0x3fc;0x3f2;0x3f3;0x3fd,0,258
2026-06-02T15:52:19.730,142,4,0x3fc;0x3f2;0x3f3;0x3fd,0,238
2026-06-02T15:52:19.933,143,4,0x3fc;0x3f2;0x3f3;0x3fd,0,243
2026-06-02T15:52:19.933,144,5,0x3fc;0x3f2;0x3f3;0x3fd;0x410,1,388
2026-06-02T15:52:20.135,145,4,0x3fc;0x3f2;0x3f3;0x3fd,0,236
2026-06-02T15:52:20.135,146,4,0x3fc;0x3f2;0x3f3;0x3fd,0,219
2026-06-02T15:52:20.135,147,3,0x3f2;0x3f3;0x3fd,0,181
2026-06-02T15:52:20.338,148,3,0x3fc;0x3f2;0x3fd,0,224
2026-06-02T15:52:20.338,149,4,0x3fc;0x3f2;0x3f3;0x3fd,0,227
2026-06-02T15:52:20.539,150,4,0x3fc;0x3f2;0x3f3;0x3fd,0,290
2026-06-02T15:52:20.539,151,4,0x3fc;0x3f2;0x3f3;0x3fd,0,234
2026-06-02T15:52:20.741,152,4,0x3fc;0x3f2;0x3f3;0x3fd,0,234
2026-06-02T15:52:20.741,153,4,0x3fc;0x3f2;0x3f3;0x3fd,0,243
2026-06-02T15:52:20.941,154,4,0x3fc;0x3f2;0x3f3;0x3fd,0,292
2026-06-02T15:52:20.941,155,4,0x3fc;0x3f2;0x3f3;0x3fd,0,250
2026-06-02T15:52:20.941,156,4,0x3fc;0x3f2;0x3f3;0x3fd,0,236
2026-06-02T15:52:21.143,157,4,0x3fc;0x3f2;0x3f3;0x3fd,0,235
2026-06-02T15:52:21.143,158,4,0x3fc;0x3f2;0x3f3;0x3fd,0,219
2026-06-02T15:52:21.344,159,4,0x3fc;0x3f2;0x3f3;0x3fd,0,241
2026-06-02T15:52:21.344,160,5,0x3fc;0x3f2;0x3f3;0x3fd;0x410,1,388
2026-06-02T15:52:21.548,161,4,0x3fc;0x3f2;0x3f3;0x3fd,0,252
2026-06-02T15:52:21.548,162,4,0x3fc;0x3f2;0x3f3;0x3fd,0,245
2026-06-02T15:52:21.764,163,4,0x3fc;0x3f2;0x3f3;0x3fd,0,252
2026-06-02T15:52:21.764,164,4,0x3fc;0x3f2;0x3f3;0x3fd,0,245
2026-06-02T15:52:21.764,165,4,0x3fc;0x3f2;0x3f3;0x3fd,0,252
2026-06-02T15:52:21.966,166,4,0x3fc;0x3f2;0x3f3;0x3fd,0,245
2026-06-02T15:52:21.966,167,4,0x3fc;0x3f2;0x3f3;0x3fd,0,236
2026-06-02T15:52:22.169,168,4,0x3fc;0x3f2;0x3f3;0x3fd,0,227
2026-06-02T15:52:22.169,169,4,0x3fc;0x3f2;0x3f3;0x3fd,0,234
2026-06-02T15:52:22.372,170,4,0x3fc;0x3f2;0x3f3;0x3fd,0,219
2026-06-02T15:52:22.372,171,4,0x3fc;0x3f2;0x3f3;0x3fd,0,249
2026-06-02T15:52:22.372,172,4,0x3fc;0x3f2;0x3f3;0x3fd,0,253
2026-06-02T15:52:22.575,173,4,0x3fc;0x3f2;0x3f3;0x3fd,0,261
2026-06-02T15:52:22.575,174,4,0x3fc;0x3f2;0x3f3;0x3fd,0,334
2026-06-02T15:52:22.777,175,4,0x3fc;0x3f2;0x3f3;0x3fd,0,247
2026-06-02T15:52:22.777,176,5,0x3fc;0x3f2;0x3f3;0x3fd;0x410,1,379
2026-06-02T15:52:22.978,177,4,0x3fc;0x3f2;0x3f3;0x3fd,0,227
2026-06-02T15:52:22.978,178,4,0x3fc;0x3f2;0x3f3;0x3fd,0,226
2026-06-02T15:52:23.180,179,4,0x3fc;0x3f2;0x3f3;0x3fd,0,234
